account_id,customer_id,account_type,currency,opened_date,status,credit_limit,last_updated_at
ACC000024,CUST00014,SAVINGS,NGN,2025-03-06,CLOSED,0,2025-03-06 16:43:59
ACC000025,CUST00015,savings,usd,2024-12-24,closed,0,2024-12-24 23:31:47
ACC000026,CUST00015,SAVINGS,GBP,2024-10-01,closed,0,2024-10-01 20:14:44
ACC000027,CUST00016,checking,CAD,2025-01-12,closed,0,2025-01-12 21:32:31
ACC000028,CUST00016,CHECKING,gbp,2025-06-11,CLOSED,0,2025-06-11 03:10:43
ACC000029,CUST00017,CREDIT,INR,2024-08-21,CLOSED,0,2024-08-21 13:44:34
ACC000030,CUST00017,checking,GBP,2024-10-10,active,0,2024-10-10 01:04:36
ACC000031,CUST00017,credit,USD,2025-04-27,FROZEN,0,2025-04-27 09:09:50
ACC000032,CUST00018,CHECKING,EUR,2025-04-13,CLOSED,0,2025-04-13 13:44:45
ACC000033,CUST00018,credit,EUR,2025-02-14,ACTIVE,25000,2025-02-14 20:57:49
ACC000034,CUST00018,SAVINGS,INR,2024-10-09,active,0,2024-10-09 07:13:47
ACC000035,CUST00019,CREDIT,CAD,2024-10-16,closed,10000,2024-10-16 13:45:06
ACC000036,CUST00020,checking,NGN,2025-06-28,active,0,2025-06-28 07:15:18
ACC000037,CUST00020,CHECKING,GBP,2024-12-28,CLOSED,0,2024-12-28 14:25:05
ACC000038,CUST00021,credit,EUR,2025-04-21,CLOSED,5000,2025-04-21 18:38:08
ACC000039,CUST00021,CHECKING,INR,2025-06-29,CLOSED,0,2025-06-29 20:55:13
ACC000040,CUST00022,SAVINGS,USD,2025-04-27,ACTIVE,0,2025-04-27 20:48:11
ACC000041,CUST00022,CHECKING,usd,2024-12-21,CLOSED,0,2024-12-21 07:02:54
ACC000042,CUST00023,CREDIT,USD,2025-05-27,closed,0,2025-05-27 20:47:51
ACC000043,CUST00023,CREDIT,gbp,2025-05-09,ACTIVE,1000,2025-05-09 06:17:21
ACC000044,CUST00023,CREDIT,NGN,2025-06-21,CLOSED,0,2025-06-21 05:54:36
ACC000045,CUST00024,SAVINGS,EUR,2025-04-05,ACTIVE,0,2025-04-05 19:56:33
ACC000046,CUST00024,CHECKING,JPY,2025-01-11,active,0,2025-01-11 14:42:27
ACC000047,CUST00024,credit,NGN,2025-03-14,closed,0,2025-03-14 19:54:30
ACC000048,CUST00025,savings,usd,2025-05-16,closed,0,2025-05-16 20:46:30
ACC000049,CUST00025,CREDIT,usd,2025-06-07,active,10000,2025-06-07 01:59:59
ACC000050,CUST00025,checking,EUR,2024-12-07,ACTIVE,0,2024-12-07 13:33:29
ACC000051,CUST00026,SAVINGS,usd,2024-12-21,ACTIVE,0,2024-12-21 09:01:30
ACC000052,CUST00026,CREDIT,EUR,2024-04-18,ACTIVE,0,2024-04-18 01:18:14
ACC000053,CUST00026,SAVINGS,USD,2025-03-20,ACTIVE,0,2025-03-20 21:41:21
ACC000054,CUST00027,SAVINGS,CAD,2025-04-05,closed,0,2025-04-05 13:38:39
ACC000055,CUST00028,credit,GBP,2025-05-31,FROZEN,0,2025-05-31 07:07:26
ACC000056,CUST00029,SAVINGS,JPY,2025-06-25,CLOSED,0,2025-06-25 11:07:14
ACC000057,CUST00030,savings,CAD,2025-05-21,closed,0,2025-05-21 01:20:52
ACC000058,CUST00031,CREDIT,GBP,2025-06-19,ACTIVE,5000,2025-06-19 16:58:00
ACC000059,CUST00031,CHECKING,GBP,2025-06-30,ACTIVE,0,2025-06-30 16:01:08
ACC000060,CUST00032,SAVINGS,GBP,2025-02-10,active,0,2025-02-10 12:13:03
ACC000061,CUST00033,checking,CAD,2025-02-03,FROZEN,0,2025-02-03 09:40:16
ACC000062,CUST00033,credit,NGN,2024-08-22,ACTIVE,5000,2024-08-22 21:37:59
ACC000063,CUST00033,SAVINGS,gbp,2025-02-02,CLOSED,0,2025-02-02 12:57:37
ACC000064,CUST00034,savings,INR,2024-07-11,ACTIVE,0,2024-07-11 20:29:37
ACC000065,CUST00034,credit,EUR,2024-09-20,closed,1000,2024-09-20 10:14:50
ACC000066,CUST00034,CHECKING,gbp,2024-08-12,active,0,2024-08-12 06:24:56
ACC000067,CUST00035,CREDIT,JPY,2025-01-23,closed,10000,2025-01-23 01:14:04
ACC000068,CUST00035,savings,EUR,2024-08-14,FROZEN,0,2024-08-14 09:59:04
ACC000069,CUST00035,savings,USD,2025-03-11,closed,0,2025-03-11 19:23:44
ACC000070,CUST00036,SAVINGS,usd,2025-02-28,closed,0,2025-02-28 01:17:26
ACC000071,CUST00037,CREDIT,usd,2025-05-22,FROZEN,1000,2025-05-22 15:08:55
ACC000072,CUST00038,SAVINGS,CAD,2025-01-09,FROZEN,0,2025-01-09 13:17:57
ACC000073,CUST00038,checking,gbp,2025-01-31,ACTIVE,0,2025-01-31 19:53:27
ACC000074,CUST00038,savings,GBP,2025-01-13,CLOSED,0,2025-01-13 00:55:51
ACC000075,CUST00039,CHECKING,EUR,2025-04-22,closed,0,2025-04-22 23:36:21
ACC000076,CUST00040,SAVINGS,INR,2025-06-02,ACTIVE,0,2025-06-02 00:21:45
ACC000077,CUST00040,SAVINGS,gbp,2025-01-18,closed,0,2025-01-18 10:15:56
ACC000078,CUST00040,CREDIT,USD,2024-10-10,active,0,2024-10-10 06:24:21
ACC000079,CUST00041,savings,EUR,2025-06-28,FROZEN,0,2025-06-28 14:06:55
ACC000080,CUST00041,credit,JPY,2025-05-05,closed,10000,2025-05-05 01:15:24
ACC000081,CUST00042,savings,EUR,2025-04-22,FROZEN,0,2025-04-22 04:29:27
ACC000082,CUST00042,credit,EUR,2025-02-04,active,5000,2025-02-04 20:15:41
ACC000083,CUST00042,savings,gbp,2025-03-02,ACTIVE,0,2025-03-02 16:53:27
ACC000084,CUST00043,SAVINGS,GBP,2025-02-18,closed,0,2025-02-18 05:42:54
ACC000085,CUST00043,credit,EUR,2024-11-24,CLOSED,1000,2024-11-24 10:18:51
ACC000086,CUST00043,savings,JPY,2024-10-30,FROZEN,0,2024-10-30 11:31:56
ACC000087,CUST00044,CREDIT,GBP,2025-03-26,FROZEN,10000,2025-03-26 01:31:47
ACC000088,CUST00044,CHECKING,gbp,2025-05-05,CLOSED,0,2025-05-05 10:16:29
ACC000089,CUST00045,credit,usd,2024-05-23,active,0,2024-05-23 00:20:32
ACC000090,CUST00045,checking,USD,2024-05-25,ACTIVE,0,2024-05-25 17:27:25
ACC000091,CUST00046,CREDIT,USD,2025-03-16,CLOSED,1000,2025-03-16 00:19:23
ACC000092,CUST00046,credit,INR,2025-06-10,CLOSED,0,2025-06-10 13:15:47
ACC000093,CUST00046,credit,JPY,2025-06-13,ACTIVE,10000,2025-06-13 00:15:17
ACC000094,CUST00047,CREDIT,USD,2024-02-27,CLOSED,0,2024-02-27 19:07:10
ACC000095,CUST00047,credit,GBP,2025-04-07,closed,0,2025-04-07 00:32:11
ACC000096,CUST00048,CHECKING,INR,2025-03-05,active,0,2025-03-05 14:05:45
ACC000097,CUST00048,CREDIT,EUR,2025-03-30,ACTIVE,0,2025-03-30 23:00:08
ACC000098,CUST00048,checking,JPY,2024-12-01,FROZEN,0,2024-12-01 13:09:45
ACC000099,CUST00049,savings,NGN,2025-03-12,active,0,2025-03-12 08:06:51
ACC000100,CUST00050,SAVINGS,GBP,2024-08-25,closed,0,2024-08-25 23:24:46
ACC000101,CUST00050,CHECKING,gbp,2025-06-08,FROZEN,0,2025-06-08 09:49:00
ACC000102,CUST00051,SAVINGS,GBP,2024-09-24,ACTIVE,0,2024-09-24 00:04:34
ACC000103,CUST00051,CREDIT,GBP,2025-06-13,FROZEN,1000,2025-06-13 05:58:54
ACC000104,CUST00052,CHECKING,INR,2025-05-30,closed,0,2025-05-30 05:04:43
ACC000105,CUST00052,CHECKING,CAD,2025-05-19,ACTIVE,0,2025-05-19 14:58:23
ACC000106,CUST00052,SAVINGS,gbp,2025-05-08,FROZEN,0,2025-05-08 18:48:32
ACC000107,CUST00053,SAVINGS,EUR,2024-02-19,CLOSED,0,2024-02-19 00:05:06
ACC000108,CUST00054,CHECKING,NGN,2024-07-27,CLOSED,0,2024-07-27 10:36:57
ACC000109,CUST00054,CHECKING,JPY,2024-10-08,closed,0,2024-10-08 17:14:51
ACC000110,CUST00055,CHECKING,INR,2025-04-02,ACTIVE,0,2025-04-02 18:05:22
ACC000111,CUST00056,checking,INR,2024-08-27,CLOSED,0,2024-08-27 06:50:59
ACC000112,CUST00057,SAVINGS,NGN,2024-09-27,active,0,2024-09-27 11:04:33
ACC000113,CUST00057,SAVINGS,usd,2025-03-30,CLOSED,0,2025-03-30 15:43:52
ACC000114,CUST00058,checking,EUR,2025-01-20,FROZEN,0,2025-01-20 06:12:09
ACC000115,CUST00058,CHECKING,CAD,2025-01-16,active,0,2025-01-16 01:36:13
ACC000116,CUST00058,checking,gbp,2024-05-09,ACTIVE,0,2024-05-09 22:57:25
ACC000117,CUST00059,savings,CAD,2024-12-24,ACTIVE,0,2024-12-24 10:52:14
ACC000118,CUST00060,checking,INR,2025-03-25,FROZEN,0,2025-03-25 17:28:44
ACC000119,CUST00061,savings,JPY,2025-05-02,CLOSED,0,2025-05-02 18:26:47
ACC000120,CUST00062,checking,CAD,2025-04-07,CLOSED,0,2025-04-07 09:57:14
ACC000121,CUST00062,credit,NGN,2025-01-14,active,10000,2025-01-14 21:39:39
ACC000122,CUST00062,CHECKING,USD,2024-08-15,active,0,2024-08-15 14:47:01
ACC000123,CUST00063,CREDIT,GBP,2025-02-25,ACTIVE,0,2025-02-25 19:43:04
ACC000124,CUST00064,savings,USD,2024-12-08,CLOSED,0,2024-12-08 17:58:13
ACC000125,CUST00064,SAVINGS,gbp,2025-03-25,CLOSED,0,2025-03-25 23:26:47
ACC000126,CUST00064,savings,GBP,2024-05-21,closed,0,2024-05-21 04:03:11
ACC000127,CUST00065,CREDIT,GBP,2025-05-03,FROZEN,0,2025-05-03 05:05:21
ACC000128,CUST00066,credit,NGN,2025-01-24,active,0,2025-01-24 08:17:03
ACC000129,CUST00067,CHECKING,JPY,2025-05-23,closed,0,2025-05-23 08:41:34
ACC000130,CUST00067,checking,EUR,2024-10-31,active,0,2024-10-31 08:47:48
ACC000131,CUST00068,savings,USD,2024-10-10,FROZEN,0,2024-10-10 09:05:10
ACC000132,CUST00069,savings,USD,2024-07-15,closed,0,2024-07-15 13:32:08
ACC000133,CUST00070,CHECKING,NGN,2024-07-17,CLOSED,0,2024-07-17 07:34:46
ACC000134,CUST00071,credit,GBP,2025-03-27,active,10000,2025-03-27 12:08:29
ACC000135,CUST00071,savings,INR,2025-04-02,ACTIVE,0,2025-04-02 06:42:08
ACC000136,CUST00071,savings,USD,2025-05-06,FROZEN,0,2025-05-06 00:08:13
ACC000137,CUST00072,SAVINGS,gbp,2025-03-09,FROZEN,0,2025-03-09 13:33:19
ACC000138,CUST00073,checking,CAD,2025-03-01,ACTIVE,0,2025-03-01 17:28:04
ACC000139,CUST00073,CHECKING,USD,2024-08-30,ACTIVE,0,2024-08-30 04:05:45
ACC000140,CUST00073,checking,gbp,2024-12-16,CLOSED,0,2024-12-16 19:47:48
ACC000141,CUST00074,savings,EUR,2025-01-06,FROZEN,0,2025-01-06 03:10:01
ACC000142,CUST00074,SAVINGS,CAD,2025-06-06,FROZEN,0,2025-06-06 19:07:14
ACC000143,CUST00075,credit,JPY,2025-03-17,active,0,2025-03-17 19:31:37
ACC000144,CUST00076,credit,CAD,2025-01-30,closed,25000,2025-01-30 01:29:16
ACC000145,CUST00076,CREDIT,GBP,2025-06-09,FROZEN,0,2025-06-09 18:42:12
ACC000146,CUST00077,savings,usd,2025-05-24,ACTIVE,0,2025-05-24 22:19:27
ACC000147,CUST00078,CHECKING,USD,2025-06-30,closed,0,2025-06-30 11:01:11
ACC000148,CUST00079,checking,INR,2024-09-24,ACTIVE,0,2024-09-24 21:56:22
ACC000149,CUST00079,CREDIT,CAD,2024-06-27,FROZEN,5000,2024-06-27 03:51:24
ACC000150,CUST00079,checking,JPY,2025-05-03,active,0,2025-05-03 07:42:03
ACC000151,CUST00080,checking,NGN,2024-04-28,closed,0,2024-04-28 06:57:36
ACC000152,CUST00081,CREDIT,CAD,2024-10-17,CLOSED,0,2024-10-17 01:42:29
ACC000153,CUST00081,credit,NGN,2025-03-12,ACTIVE,0,2025-03-12 14:45:50
ACC000154,CUST00081,savings,JPY,2025-01-14,closed,0,2025-01-14 12:12:51
ACC000155,CUST00082,CREDIT,EUR,2024-06-08,FROZEN,0,2024-06-08 15:53:46
ACC000156,CUST00083,CHECKING,GBP,2025-05-05,CLOSED,0,2025-05-05 21:07:52
ACC000157,CUST00084,checking,INR,2024-07-27,closed,0,2024-07-27 05:49:53
ACC000158,CUST00084,CREDIT,NGN,2025-03-24,CLOSED,25000,2025-03-24 09:04:58
ACC000159,CUST00085,checking,EUR,2024-11-17,ACTIVE,0,2024-11-17 10:30:33
ACC000160,CUST00085,CREDIT,USD,2024-10-05,closed,0,2024-10-05 03:20:11
ACC000161,CUST00085,CREDIT,JPY,2025-01-27,FROZEN,10000,2025-01-27 21:01:03
ACC000162,CUST00086,SAVINGS,gbp,2025-04-03,closed,0,2025-04-03 18:50:30
ACC000163,CUST00086,checking,GBP,2025-03-15,ACTIVE,0,2025-03-15 03:03:43
ACC000164,CUST00087,SAVINGS,USD,2024-11-19,active,0,2024-11-19 00:40:57
ACC000165,CUST00087,checking,gbp,2024-12-19,ACTIVE,0,2024-12-19 17:45:23
ACC000166,CUST00087,checking,JPY,2024-11-27,ACTIVE,0,2024-11-27 09:50:48
ACC000167,CUST00088,credit,CAD,2025-04-16,FROZEN,5000,2025-04-16 22:34:46
ACC000168,CUST00089,CREDIT,EUR,2025-06-17,CLOSED,0,2025-06-17 23:41:23
ACC000169,CUST00090,SAVINGS,USD,2024-11-07,ACTIVE,0,2024-11-07 12:37:25
ACC000170,CUST00090,SAVINGS,GBP,2025-05-31,FROZEN,0,2025-05-31 23:36:03
ACC000171,CUST00090,SAVINGS,USD,2024-09-22,closed,0,2024-09-22 15:17:30
ACC000172,CUST00091,CHECKING,NGN,2025-05-31,FROZEN,0,2025-05-31 06:11:39
ACC000173,CUST00091,credit,JPY,2025-06-08,active,5000,2025-06-08 14:26:29
ACC000174,CUST00091,checking,CAD,2025-05-03,FROZEN,0,2025-05-03 20:43:51
ACC000175,CUST00092,credit,NGN,2025-04-26,active,25000,2025-04-26 21:29:58
ACC000176,CUST00093,credit,NGN,2025-03-13,FROZEN,10000,2025-03-13 23:54:29
ACC000177,CUST00093,savings,usd,2025-02-25,CLOSED,0,2025-02-25 19:17:14
ACC000178,CUST00094,checking,EUR,2025-05-05,active,0,2025-05-05 09:49:34
ACC000179,CUST00095,credit,gbp,2025-05-31,ACTIVE,0,2025-05-31 11:57:45
ACC000180,CUST00095,checking,EUR,2025-03-22,CLOSED,0,2025-03-22 10:54:10
ACC000181,CUST00095,CHECKING,EUR,2025-02-02,ACTIVE,0,2025-02-02 22:52:13
ACC000182,CUST00096,savings,NGN,2024-11-24,ACTIVE,0,2024-11-24 05:55:53
ACC000183,CUST00096,CREDIT,USD,2025-05-29,closed,0,2025-05-29 07:01:47
ACC000184,CUST00097,savings,USD,2025-01-03,ACTIVE,0,2025-01-03 18:03:05
ACC000185,CUST00098,credit,EUR,2025-06-30,active,0,2025-06-30 11:49:48
ACC000186,CUST00099,checking,USD,2025-03-24,ACTIVE,0,2025-03-24 23:22:10
ACC000187,CUST00100,credit,CAD,2025-03-06,ACTIVE,25000,2025-03-06 15:15:22
ACC000188,CUST00101,savings,INR,2024-11-10,active,0,2024-11-10 01:43:06
ACC000189,CUST00102,savings,EUR,2024-10-29,active,0,2024-10-29 20:11:34
ACC000190,CUST00102,CREDIT,gbp,2024-07-14,closed,10000,2024-07-14 16:47:50
ACC000191,CUST00103,CHECKING,usd,2024-07-17,closed,0,2024-07-17 05:40:19
ACC000192,CUST00104,CREDIT,NGN,2024-12-26,active,25000,2024-12-26 19:59:06
ACC000193,CUST00104,checking,USD,2024-11-17,active,0,2024-11-17 11:16:54
ACC000194,CUST00105,checking,CAD,2025-04-04,FROZEN,0,2025-04-04 16:01:49
ACC000195,CUST00105,credit,usd,2025-02-01,CLOSED,1000,2025-02-01 17:23:42
ACC000196,CUST00106,checking,usd,2024-06-16,FROZEN,0,2024-06-16 13:04:38
ACC000197,CUST00107,CREDIT,usd,2025-01-09,FROZEN,0,2025-01-09 19:32:12
ACC000198,CUST00107,CHECKING,USD,2025-06-23,closed,0,2025-06-23 06:58:52
ACC000199,CUST00108,savings,JPY,2025-01-23,FROZEN,0,2025-01-23 13:51:21
ACC000200,CUST00109,credit,EUR,2024-11-12,FROZEN,1000,2024-11-12 10:26:55
ACC000201,CUST00109,SAVINGS,CAD,2025-05-03,ACTIVE,0,2025-05-03 15:10:08
ACC000202,CUST00109,savings,CAD,2024-12-17,FROZEN,0,2024-12-17 06:46:20
ACC000203,CUST00110,CHECKING,EUR,2025-03-15,active,0,2025-03-15 19:54:27
ACC000204,CUST00110,checking,NGN,2025-05-02,CLOSED,0,2025-05-02 04:30:04
ACC000205,CUST00110,CHECKING,usd,2025-06-01,closed,0,2025-06-01 21:39:17
ACC000206,CUST00111,SAVINGS,EUR,2025-04-28,ACTIVE,0,2025-04-28 05:24:25
ACC000207,CUST00111,checking,EUR,2024-11-22,CLOSED,0,2024-11-22 11:04:33
ACC000208,CUST00112,savings,NGN,2025-03-14,CLOSED,0,2025-03-14 00:07:09
ACC000209,CUST00112,savings,CAD,2025-05-25,active,0,2025-05-25 15:34:31
ACC000210,CUST00113,savings,NGN,2024-11-12,closed,0,2024-11-12 12:01:47
ACC000211,CUST00113,CREDIT,INR,2025-02-18,closed,5000,2025-02-18 01:19:45
ACC000212,CUST00113,checking,NGN,2025-03-05,ACTIVE,0,2025-03-05 05:51:47
ACC000213,CUST00114,CREDIT,GBP,2025-05-15,ACTIVE,5000,2025-05-15 21:55:13
ACC000214,CUST00114,SAVINGS,USD,2025-04-09,active,0,2025-04-09 16:04:44
ACC000215,CUST00114,SAVINGS,JPY,2025-02-26,CLOSED,0,2025-02-26 07:56:47
ACC000216,CUST00115,CHECKING,CAD,2024-12-05,FROZEN,0,2024-12-05 18:43:52
ACC000217,CUST00116,savings,EUR,2025-03-12,closed,0,2025-03-12 10:46:40
ACC000218,CUST00117,checking,GBP,2025-02-20,ACTIVE,0,2025-02-20 04:14:22
ACC000219,CUST00117,CHECKING,EUR,2025-01-10,CLOSED,0,2025-01-10 12:24:04
ACC000220,CUST00118,credit,CAD,2024-02-05,ACTIVE,1000,2024-02-05 11:08:29
ACC000221,CUST00118,credit,usd,2024-04-07,CLOSED,5000,2024-04-07 08:09:59
ACC000222,CUST00118,checking,USD,2025-04-21,active,0,2025-04-21 07:34:35
ACC000223,CUST00119,CHECKING,GBP,2024-10-12,ACTIVE,0,2024-10-12 20:48:06
ACC000224,CUST00119,CREDIT,NGN,2024-08-23,active,25000,2024-08-23 20:18:02
ACC000225,CUST00120,credit,JPY,2024-12-19,FROZEN,0,2024-12-19 10:31:28
ACC000226,CUST00121,credit,INR,2025-04-01,ACTIVE,0,2025-04-01 21:50:01
ACC000227,CUST00121,CHECKING,EUR,2025-03-08,ACTIVE,0,2025-03-08 16:26:26
ACC000228,CUST00122,CREDIT,EUR,2024-06-01,closed,25000,2024-06-01 22:44:36
ACC000229,CUST00122,CHECKING,NGN,2024-09-09,CLOSED,0,2024-09-09 13:07:05
ACC000230,CUST00122,CREDIT,gbp,2025-04-25,closed,10000,2025-04-25 20:42:02
ACC000231,CUST00123,credit,NGN,2024-09-14,active,0,2024-09-14 16:53:11
ACC000232,CUST00123,CHECKING,JPY,2024-08-19,CLOSED,0,2024-08-19 03:14:01
ACC000233,CUST00123,credit,NGN,2024-04-27,closed,0,2024-04-27 04:39:17
ACC000234,CUST00124,savings,EUR,2024-08-23,closed,0,2024-08-23 00:42:40
ACC000235,CUST00125,credit,INR,2024-04-08,FROZEN,1000,2024-04-08 23:17:04
ACC000236,CUST00125,credit,NGN,2025-06-29,active,1000,2025-06-29 23:12:32
ACC000237,CUST00125,SAVINGS,NGN,2024-03-22,active,0,2024-03-22 11:09:12
ACC000238,CUST00126,CHECKING,usd,2025-01-09,FROZEN,0,2025-01-09 01:11:05
ACC000239,CUST00126,SAVINGS,USD,2025-04-15,active,0,2025-04-15 03:04:11
ACC000240,CUST00127,CREDIT,usd,2025-01-25,active,0,2025-01-25 05:02:12
ACC000241,CUST00127,SAVINGS,GBP,2024-11-27,closed,0,2024-11-27 06:18:47
ACC000242,CUST00128,CHECKING,GBP,2025-06-25,FROZEN,0,2025-06-25 23:06:29
ACC000243,CUST00129,CREDIT,INR,2025-04-18,ACTIVE,0,2025-04-18 19:51:31
ACC000244,CUST00130,CHECKING,gbp,2024-12-28,ACTIVE,0,2024-12-28 08:12:06
ACC000245,CUST00131,SAVINGS,NGN,2025-04-05,closed,0,2025-04-05 22:09:36
ACC000246,CUST00131,SAVINGS,NGN,2024-09-01,FROZEN,0,2024-09-01 16:26:52
ACC000247,CUST00132,SAVINGS,NGN,2024-07-24,closed,0,2024-07-24 15:17:30
ACC000248,CUST00133,checking,USD,2025-02-13,closed,0,2025-02-13 01:15:35
ACC000249,CUST00134,CREDIT,USD,2025-05-08,FROZEN,25000,2025-05-08 05:31:28
ACC000250,CUST00134,checking,INR,2025-01-05,ACTIVE,0,2025-01-05 14:42:26
ACC000251,CUST00135,credit,GBP,2024-05-31,active,0,2024-05-31 11:04:03
ACC000252,CUST00135,CREDIT,JPY,2024-07-23,FROZEN,5000,2024-07-23 02:08:02
ACC000253,CUST00135,checking,CAD,2025-03-02,FROZEN,0,2025-03-02 13:38:08
ACC000254,CUST00136,savings,USD,2025-05-30,CLOSED,0,2025-05-30 06:20:14
ACC000255,CUST00136,checking,usd,2024-08-04,active,0,2024-08-04 17:20:42
ACC000256,CUST00137,savings,usd,2025-06-24,ACTIVE,0,2025-06-24 14:50:49
ACC000257,CUST00137,SAVINGS,JPY,2024-06-12,ACTIVE,0,2024-06-12 18:40:35
ACC000258,CUST00137,CHECKING,INR,2025-03-16,FROZEN,0,2025-03-16 12:23:55
ACC000259,CUST00138,checking,usd,2025-03-16,FROZEN,0,2025-03-16 19:16:04
ACC000260,CUST00139,SAVINGS,usd,2025-03-03,ACTIVE,0,2025-03-03 13:13:56
ACC000261,CUST00139,credit,INR,2025-01-26,FROZEN,25000,2025-01-26 19:04:06
ACC000262,CUST00139,SAVINGS,INR,2025-03-24,active,0,2025-03-24 21:33:21
ACC000263,CUST00140,savings,USD,2025-03-05,FROZEN,0,2025-03-05 20:58:47
ACC000264,CUST00141,savings,EUR,2024-12-29,CLOSED,0,2024-12-29 17:01:27
ACC000265,CUST00141,CREDIT,CAD,2024-12-16,FROZEN,25000,2024-12-16 10:11:32
ACC000266,CUST00142,CREDIT,gbp,2025-05-25,ACTIVE,1000,2025-05-25 11:14:57
ACC000267,CUST00143,CHECKING,GBP,2025-06-28,closed,0,2025-06-28 01:16:24
ACC000268,CUST00143,checking,usd,2024-10-24,FROZEN,0,2024-10-24 02:02:01
ACC000269,CUST00143,checking,NGN,2025-03-15,ACTIVE,0,2025-03-15 22:54:43
ACC000270,CUST00144,savings,usd,2025-03-18,FROZEN,0,2025-03-18 13:00:04
ACC000271,CUST00145,credit,INR,2025-03-21,ACTIVE,5000,2025-03-21 22:37:52
ACC000272,CUST00145,checking,usd,2024-10-24,CLOSED,0,2024-10-24 07:55:26
ACC000273,CUST00146,savings,CAD,2024-06-10,ACTIVE,0,2024-06-10 22:24:32
ACC000274,CUST00146,SAVINGS,INR,2024-09-10,active,0,2024-09-10 10:37:06
ACC000275,CUST00147,CHECKING,gbp,2025-05-14,CLOSED,0,2025-05-14 22:41:13
ACC000276,CUST00147,CREDIT,INR,2024-11-25,active,0,2024-11-25 20:49:02
ACC000277,CUST00147,SAVINGS,USD,2025-02-01,closed,0,2025-02-01 21:41:09
ACC000278,CUST00148,SAVINGS,NGN,2025-01-28,CLOSED,0,2025-01-28 02:48:22
ACC000279,CUST00148,CHECKING,GBP,2025-02-26,ACTIVE,0,2025-02-26 10:36:47
ACC000280,CUST00149,SAVINGS,gbp,2024-12-02,active,0,2024-12-02 05:54:12
ACC000281,CUST00149,checking,usd,2024-07-23,FROZEN,0,2024-07-23 11:07:38
ACC000282,CUST00149,CHECKING,gbp,2024-11-25,CLOSED,0,2024-11-25 07:30:42
ACC000283,CUST00150,checking,gbp,2025-05-04,active,0,2025-05-04 19:17:05
ACC000284,CUST00150,CHECKING,NGN,2024-11-02,FROZEN,0,2024-11-02 20:54:51
ACC000285,CUST00151,checking,CAD,2025-01-28,CLOSED,0,2025-01-28 21:33:40
ACC000286,CUST00151,savings,JPY,2025-06-01,active,0,2025-06-01 01:04:21
ACC000287,CUST00152,SAVINGS,NGN,2025-02-11,ACTIVE,0,2025-02-11 15:07:18
ACC000288,CUST00152,CREDIT,usd,2025-03-31,closed,0,2025-03-31 20:02:44
ACC000289,CUST00152,checking,CAD,2025-04-22,FROZEN,0,2025-04-22 10:18:42
ACC000290,CUST00153,savings,EUR,2024-10-30,CLOSED,0,2024-10-30 10:49:12
ACC000291,CUST00154,credit,gbp,2024-08-24,closed,1000,2024-08-24 05:47:08
ACC000292,CUST00154,savings,EUR,2024-05-30,CLOSED,0,2024-05-30 20:32:31
ACC000293,CUST00155,CHECKING,USD,2025-06-03,active,0,2025-06-03 07:25:56
