account_id,customer_id,account_type,currency,opened_date,status,credit_limit,last_updated_at
ACC003469,CUST01761,CHECKING,gbp,2025-01-09,closed,25000,2025-09-03 03:39:12
ACC002217,CUST01132,CHECKING,NGN,2025-05-12,ACTIVE,5000,2025-08-16 11:01:15
ACC001997,CUST01016,savings,INR,2025-04-29,ACTIVE,25000,2025-08-27 05:49:30
ACC001862,CUST00952,CREDIT,NGN,2025-04-28,closed,0,2025-09-19 05:46:16
ACC002666,CUST01362,credit,NGN,2025-06-01,ACTIVE,0,2025-09-01 02:26:00
ACC000809,CUST00409,credit,GBP,2025-06-02,FROZEN,25000,2025-08-02 18:57:42
ACC000243,CUST00129,CREDIT,INR,2025-04-18,active,10000,2025-07-22 05:04:31
ACC000611,CUST00309,CREDIT,EUR,2025-03-14,active,0,2025-09-03 13:23:56
ACC002846,CUST01449,savings,JPY,2024-10-17,CLOSED,10000,2025-09-25 10:43:16
ACC003704,CUST01879,SAVINGS,GBP,2025-03-03,ACTIVE,10000,2025-08-19 14:54:39
ACC000454,CUST00233,CHECKING,gbp,2025-06-06,closed,10000,2025-07-27 02:15:31
ACC000968,CUST00481,checking,JPY,2024-08-04,closed,10000,2025-07-13 15:42:33
ACC002447,CUST01251,CHECKING,USD,2025-01-24,ACTIVE,0,2025-08-26 05:19:19
ACC001170,CUST00590,savings,NGN,2025-06-14,active,25000,2025-08-06 13:17:41
ACC002697,CUST01377,CREDIT,GBP,2025-05-15,active,0,2025-08-17 20:19:26
ACC001109,CUST00559,credit,JPY,2025-03-27,FROZEN,5000,2025-08-27 03:39:28
ACC001325,CUST00668,SAVINGS,GBP,2024-05-12,FROZEN,0,2025-09-24 23:30:59
ACC000600,CUST00304,CREDIT,EUR,2025-03-07,closed,10000,2025-09-27 08:34:27
ACC000565,CUST00288,credit,USD,2024-04-05,FROZEN,25000,2025-07-04 16:13:26
ACC002490,CUST01274,SAVINGS,GBP,2025-04-13,closed,0,2025-08-31 21:56:18
ACC000208,CUST00112,savings,NGN,2025-03-14,ACTIVE,25000,2025-07-03 05:05:22
ACC000182,CUST00096,savings,NGN,2024-11-24,ACTIVE,0,2025-09-26 01:37:38
ACC002282,CUST01162,CHECKING,gbp,2024-06-16,FROZEN,25000,2025-08-28 03:57:40
ACC001152,CUST00581,CREDIT,USD,2024-02-23,active,25000,2025-07-09 07:43:44
ACC001007,CUST00505,savings,NGN,2024-12-24,CLOSED,25000,2025-09-02 17:48:54
ACC002606,CUST01332,savings,GBP,2025-02-24,active,5000,2025-08-04 22:04:47
ACC000832,CUST00419,SAVINGS,gbp,2024-02-05,active,10000,2025-07-26 00:17:21
ACC001590,CUST00808,CREDIT,GBP,2025-04-11,active,25000,2025-07-25 02:11:20
ACC002376,CUST01213,checking,NGN,2025-03-14,ACTIVE,5000,2025-08-25 08:42:46
ACC003299,CUST01671,savings,EUR,2025-01-14,ACTIVE,25000,2025-08-07 05:54:12
ACC000529,CUST00271,SAVINGS,GBP,2024-12-03,active,5000,2025-09-04 13:13:27
ACC002967,CUST01508,checking,JPY,2025-06-20,FROZEN,10000,2025-08-31 01:16:52
ACC003108,CUST01577,checking,USD,2025-02-28,FROZEN,0,2025-08-28 14:14:57
ACC001002,CUST00501,SAVINGS,GBP,2025-02-19,active,5000,2025-08-31 06:30:33
ACC001072,CUST00542,savings,usd,2024-12-11,FROZEN,0,2025-07-23 20:49:21
ACC000044,CUST00023,CREDIT,NGN,2025-06-21,CLOSED,10000,2025-09-30 09:27:31
ACC000423,CUST00219,SAVINGS,USD,2025-02-04,closed,0,2025-07-17 22:16:28
ACC000078,CUST00040,CREDIT,USD,2024-10-10,ACTIVE,10000,2025-07-25 15:26:49
ACC002403,CUST01227,checking,gbp,2024-07-10,ACTIVE,5000,2025-08-28 20:53:47
ACC001422,CUST00718,checking,usd,2025-05-09,active,10000,2025-07-31 13:24:03
ACC002467,CUST01262,SAVINGS,usd,2025-03-28,CLOSED,5000,2025-09-22 21:32:50
ACC002978,CUST01513,CHECKING,GBP,2025-03-01,active,5000,2025-07-28 05:26:50
ACC003055,CUST01550,CHECKING,usd,2024-12-08,CLOSED,0,2025-09-07 19:28:53
ACC000487,CUST00251,savings,gbp,2025-03-11,FROZEN,0,2025-08-25 13:17:42
ACC002381,CUST01214,checking,CAD,2025-04-10,closed,5000,2025-09-25 07:26:50
ACC002341,CUST01193,CREDIT,EUR,2025-04-28,closed,10000,2025-09-02 14:52:12
ACC003916,CUST01981,credit,JPY,2025-06-08,CLOSED,0,2025-07-23 08:08:10
ACC003190,CUST01618,SAVINGS,JPY,2025-06-06,closed,5000,2025-09-22 10:12:39
ACC001292,CUST00652,SAVINGS,CAD,2025-04-19,ACTIVE,10000,2025-07-04 19:01:05
ACC001596,CUST00810,checking,JPY,2025-05-15,ACTIVE,0,2025-08-22 13:47:22
ACC001686,CUST00855,savings,GBP,2025-02-18,closed,5000,2025-08-18 17:14:20
ACC003812,CUST01931,checking,INR,2025-03-20,closed,5000,2025-07-18 11:37:00
ACC003550,CUST01803,CHECKING,gbp,2025-02-17,closed,0,2025-09-30 04:47:02
ACC003617,CUST01835,CREDIT,JPY,2024-10-19,active,10000,2025-07-23 23:06:53
ACC002702,CUST01380,credit,JPY,2025-05-13,FROZEN,5000,2025-08-10 05:36:46
ACC002259,CUST01153,CREDIT,usd,2025-02-28,FROZEN,0,2025-07-20 16:23:00
ACC003171,CUST01608,credit,NGN,2025-04-17,FROZEN,25000,2025-09-16 19:32:15
ACC001808,CUST00922,credit,CAD,2024-03-15,active,25000,2025-09-19 11:50:27
ACC003678,CUST01866,checking,GBP,2025-06-15,active,5000,2025-09-14 08:17:06
ACC000645,CUST00327,SAVINGS,usd,2025-01-07,active,0,2025-09-03 08:25:52
ACC002505,CUST01283,credit,EUR,2025-06-27,active,0,2025-07-02 16:28:02
ACC001813,CUST00925,SAVINGS,JPY,2024-07-04,FROZEN,25000,2025-08-16 05:48:02
ACC000949,CUST00470,savings,USD,2025-04-05,active,5000,2025-07-30 09:27:02
ACC002934,CUST01491,checking,CAD,2025-05-29,closed,5000,2025-09-30 08:37:45
ACC003769,CUST01912,CHECKING,INR,2025-04-16,CLOSED,25000,2025-08-11 00:23:24
ACC003159,CUST01603,savings,NGN,2025-04-07,closed,5000,2025-07-19 13:22:45
ACC000225,CUST00120,credit,JPY,2024-12-19,ACTIVE,0,2025-08-27 05:32:36
ACC001094,CUST00552,CREDIT,NGN,2025-05-30,active,10000,2025-07-13 23:32:13
ACC000582,CUST00295,SAVINGS,gbp,2024-12-29,FROZEN,10000,2025-08-07 12:08:27
ACC002174,CUST01108,CREDIT,EUR,2024-08-22,FROZEN,25000,2025-07-04 16:39:06
ACC001804,CUST00920,CHECKING,USD,2024-01-27,ACTIVE,5000,2025-09-12 10:36:55
ACC003073,CUST01560,CHECKING,USD,2024-11-11,active,5000,2025-07-09 12:06:00
ACC000477,CUST00244,checking,EUR,2024-09-09,closed,0,2025-08-15 06:21:38
ACC002790,CUST01426,savings,GBP,2024-10-03,FROZEN,5000,2025-09-02 22:51:54
ACC000856,CUST00429,CHECKING,NGN,2024-07-03,ACTIVE,5000,2025-08-08 10:53:31
ACC003873,CUST01960,savings,CAD,2024-03-20,CLOSED,0,2025-08-15 21:02:18
ACC000291,CUST00154,credit,gbp,2024-08-24,ACTIVE,0,2025-08-07 00:00:21
ACC000683,CUST00347,SAVINGS,gbp,2024-07-06,active,10000,2025-07-22 11:12:11
ACC002808,CUST01434,CHECKING,CAD,2024-10-07,CLOSED,25000,2025-08-22 06:34:15
ACC000175,CUST00092,credit,NGN,2025-04-26,FROZEN,5000,2025-09-06 19:56:54
ACC000335,CUST00177,CHECKING,GBP,2025-05-07,closed,25000,2025-08-20 01:16:43
ACC002242,CUST01144,savings,EUR,2025-01-01,closed,10000,2025-07-10 12:26:47
ACC002792,CUST01426,checking,EUR,2024-10-05,active,10000,2025-09-20 20:14:45
ACC001038,CUST00526,checking,gbp,2025-01-07,active,10000,2025-08-25 13:21:49
ACC000438,CUST00227,SAVINGS,JPY,2024-12-29,closed,5000,2025-08-23 10:36:23
ACC001476,CUST00747,CREDIT,EUR,2025-05-30,FROZEN,10000,2025-07-30 11:18:31
ACC003468,CUST01760,CREDIT,EUR,2024-11-08,closed,10000,2025-09-09 04:46:43
ACC001455,CUST00735,SAVINGS,CAD,2024-08-20,FROZEN,0,2025-09-03 12:37:42
ACC001154,CUST00582,checking,INR,2024-11-28,CLOSED,25000,2025-08-29 06:11:25
ACC001697,CUST00859,savings,usd,2025-04-03,active,0,2025-08-12 15:45:05
ACC003340,CUST01693,CREDIT,JPY,2025-05-15,CLOSED,0,2025-09-25 17:36:15
ACC003459,CUST01755,savings,usd,2025-03-29,FROZEN,25000,2025-08-06 05:16:59
ACC001384,CUST00698,CHECKING,USD,2024-07-10,CLOSED,5000,2025-08-10 17:37:08
ACC002989,CUST01518,SAVINGS,EUR,2025-05-22,closed,10000,2025-09-14 13:17:36
ACC000018,CUST00010,checking,USD,2024-11-12,active,5000,2025-07-28 06:05:41
ACC001532,CUST00777,savings,INR,2025-06-10,ACTIVE,10000,2025-08-31 23:54:51
ACC000946,CUST00469,SAVINGS,gbp,2025-04-25,ACTIVE,10000,2025-08-11 05:21:10
ACC001083,CUST00547,savings,USD,2025-01-11,active,0,2025-08-30 03:00:48
ACC002616,CUST01336,checking,GBP,2025-05-09,closed,25000,2025-08-06 18:48:22
ACC001698,CUST00859,CHECKING,INR,2025-04-07,CLOSED,0,2025-07-18 18:08:21
ACC003952,CUST01643,credit,GBP,2025-07-05,FROZEN,10000,2025-07-05 22:45:49
ACC003953,CUST01461,CREDIT,EUR,2025-08-17,FROZEN,0,2025-08-17 08:06:54
ACC003954,CUST01074,credit,JPY,2025-07-16,FROZEN,10000,2025-07-16 08:00:13
ACC003955,CUST01228,savings,GBP,2025-09-16,CLOSED,0,2025-09-16 23:52:38
ACC003956,CUST01775,SAVINGS,gbp,2025-09-29,closed,0,2025-09-29 20:09:52
ACC003957,CUST00259,checking,JPY,2025-09-09,FROZEN,10000,2025-09-09 08:37:47
ACC003958,CUST00166,checking,USD,2025-08-30,active,5000,2025-08-30 14:36:54
ACC003959,CUST01081,CHECKING,GBP,2025-08-02,FROZEN,0,2025-08-02 04:31:14
ACC003960,CUST00825,CHECKING,gbp,2025-08-19,FROZEN,0,2025-08-19 04:43:57
ACC003961,CUST01990,CREDIT,usd,2025-09-21,active,0,2025-09-21 13:56:32
ACC003962,CUST00886,savings,GBP,2025-07-13,FROZEN,5000,2025-07-13 22:08:12
ACC003963,CUST01901,CHECKING,GBP,2025-08-13,ACTIVE,5000,2025-08-13 01:31:03
ACC003964,CUST00104,SAVINGS,gbp,2025-09-03,ACTIVE,5000,2025-09-03 22:38:35
ACC003965,CUST00871,CHECKING,NGN,2025-08-16,active,0,2025-08-16 18:34:50
ACC003966,CUST00993,SAVINGS,EUR,2025-08-08,FROZEN,0,2025-08-08 17:55:07
ACC003967,CUST01348,CHECKING,usd,2025-09-19,active,10000,2025-09-19 08:46:48
ACC003968,CUST01054,savings,usd,2025-08-17,active,10000,2025-08-17 15:21:46
ACC003969,CUST01765,CREDIT,GBP,2025-07-16,active,10000,2025-07-16 12:48:31
ACC003970,CUST00779,SAVINGS,EUR,2025-07-25,CLOSED,0,2025-07-25 08:54:02
ACC003971,CUST00413,CHECKING,gbp,2025-08-25,closed,0,2025-08-25 04:31:47
ACC003972,CUST00890,SAVINGS,INR,2025-08-20,closed,10000,2025-08-20 03:50:09
ACC003973,CUST00508,savings,INR,2025-07-09,closed,5000,2025-07-09 18:47:48
ACC003974,CUST01022,CREDIT,CAD,2025-08-06,ACTIVE,10000,2025-08-06 18:25:59
ACC003975,CUST01465,credit,usd,2025-08-27,active,10000,2025-08-27 15:21:14
ACC003976,CUST00429,CHECKING,gbp,2025-09-09,closed,10000,2025-09-09 14:02:35
ACC003977,CUST01637,SAVINGS,USD,2025-08-14,CLOSED,0,2025-08-14 08:48:15
ACC003978,CUST01554,checking,CAD,2025-08-07,FROZEN,10000,2025-08-07 20:30:18
ACC003979,CUST00027,checking,JPY,2025-09-15,ACTIVE,5000,2025-09-15 20:10:06
ACC003980,CUST00031,checking,usd,2025-09-14,active,0,2025-09-14 02:12:41
ACC003981,CUST01058,CHECKING,NGN,2025-09-04,ACTIVE,10000,2025-09-04 15:10:44
ACC003982,CUST01652,SAVINGS,usd,2025-08-03,closed,0,2025-08-03 12:59:47
ACC003983,CUST00702,savings,JPY,2025-09-19,active,0,2025-09-19 19:24:39
ACC003984,CUST00459,savings,USD,2025-08-01,ACTIVE,0,2025-08-01 02:49:05
ACC003985,CUST00771,checking,USD,2025-08-25,FROZEN,0,2025-08-25 00:29:19
ACC003986,CUST01718,checking,CAD,2025-07-12,ACTIVE,5000,2025-07-12 01:16:58
ACC003987,CUST01764,savings,gbp,2025-09-01,ACTIVE,5000,2025-09-01 00:08:30
ACC003988,CUST00327,CHECKING,USD,2025-08-02,ACTIVE,5000,2025-08-02 20:54:46
ACC003989,CUST01910,savings,CAD,2025-07-11,closed,0,2025-07-11 17:58:30
ACC003990,CUST01235,SAVINGS,usd,2025-09-29,ACTIVE,5000,2025-09-29 16:44:37
ACC003991,CUST01405,SAVINGS,USD,2025-07-30,active,10000,2025-07-30 14:21:57
ACC003992,CUST01826,CHECKING,INR,2025-08-23,FROZEN,0,2025-08-23 08:11:41
ACC003993,CUST01234,CHECKING,EUR,2025-08-24,active,5000,2025-08-24 00:17:12
ACC003994,CUST01221,credit,JPY,2025-07-21,CLOSED,0,2025-07-21 09:15:26
ACC003995,CUST00797,checking,usd,2025-08-14,closed,5000,2025-08-14 10:45:58
ACC003996,CUST00274,credit,NGN,2025-09-23,ACTIVE,10000,2025-09-23 01:05:32
ACC003997,CUST00434,CHECKING,INR,2025-07-12,CLOSED,5000,2025-07-12 19:21:27
ACC003998,CUST00823,SAVINGS,CAD,2025-08-23,ACTIVE,10000,2025-08-23 11:32:53
ACC003999,CUST00464,savings,usd,2025-07-31,ACTIVE,0,2025-07-31 00:17:38
ACC004000,CUST00139,checking,JPY,2025-08-06,ACTIVE,10000,2025-08-06 21:00:13
ACC004001,CUST01867,savings,NGN,2025-09-17,ACTIVE,0,2025-09-17 15:22:55
ACC004002,CUST01341,SAVINGS,EUR,2025-09-25,ACTIVE,10000,2025-09-25 19:51:36
ACC004003,CUST00176,credit,GBP,2025-09-29,FROZEN,10000,2025-09-29 22:53:05
ACC004004,CUST00251,CHECKING,INR,2025-09-18,FROZEN,0,2025-09-18 13:58:39
ACC004005,CUST01232,credit,INR,2025-09-13,ACTIVE,0,2025-09-13 13:00:29
ACC004006,CUST00370,checking,EUR,2025-08-15,FROZEN,5000,2025-08-15 15:10:01
ACC004007,CUST00463,CREDIT,USD,2025-09-20,active,0,2025-09-20 23:52:59
ACC004008,CUST00053,credit,CAD,2025-08-21,closed,5000,2025-08-21 03:05:59
ACC004009,CUST01444,checking,NGN,2025-09-11,active,10000,2025-09-11 17:30:25
ACC004010,CUST01350,savings,INR,2025-09-02,active,5000,2025-09-02 16:14:42
ACC004011,CUST00991,SAVINGS,JPY,2025-08-24,active,0,2025-08-24 21:23:51
ACC004012,CUST00002,checking,INR,2025-07-27,ACTIVE,10000,2025-07-27 07:47:23
ACC004013,CUST00927,checking,JPY,2025-08-23,closed,10000,2025-08-23 05:11:32
ACC004014,CUST00361,CHECKING,EUR,2025-08-26,FROZEN,5000,2025-08-26 11:17:28
ACC004015,CUST00942,CREDIT,GBP,2025-07-08,ACTIVE,0,2025-07-08 16:16:59
ACC004016,CUST01671,savings,gbp,2025-08-19,FROZEN,10000,2025-08-19 11:25:45
ACC004017,CUST00522,CREDIT,EUR,2025-09-23,ACTIVE,10000,2025-09-23 16:37:00
ACC004018,CUST00232,savings,NGN,2025-09-21,CLOSED,0,2025-09-21 06:08:16
ACC004019,CUST01331,credit,CAD,2025-09-25,closed,10000,2025-09-25 19:14:10
ACC004020,CUST01671,CREDIT,EUR,2025-08-13,CLOSED,10000,2025-08-13 06:07:41
ACC004021,CUST00812,checking,CAD,2025-09-06,FROZEN,0,2025-09-06 00:35:17
ACC004022,CUST01554,CHECKING,EUR,2025-07-04,CLOSED,5000,2025-07-04 02:39:30
ACC004023,CUST01819,savings,usd,2025-08-18,ACTIVE,5000,2025-08-18 12:57:21
ACC004024,CUST00924,CHECKING,NGN,2025-07-28,FROZEN,10000,2025-07-28 07:39:33
ACC004025,CUST01146,CHECKING,NGN,2025-08-25,closed,5000,2025-08-25 23:13:07
ACC004026,CUST00627,SAVINGS,usd,2025-07-08,closed,10000,2025-07-08 03:12:40
ACC004027,CUST01783,credit,INR,2025-07-04,ACTIVE,0,2025-07-04 03:51:45
ACC004028,CUST01630,credit,JPY,2025-07-12,CLOSED,0,2025-07-12 14:57:42
ACC004029,CUST00400,checking,JPY,2025-08-29,ACTIVE,0,2025-08-29 04:09:36
ACC004030,CUST00896,credit,GBP,2025-09-29,FROZEN,10000,2025-09-29 20:13:48
ACC004031,CUST00918,CHECKING,gbp,2025-09-26,FROZEN,5000,2025-09-26 06:35:18
